sku_id,attribute,proposed_value,proposed_status,agreement,alternatives,corrected_value,corrected_status,note
shopify:www.everlane.com:7849644458070,details,none,labeled,0.60,lined,lined,labeled,human
shopify:www.thursdayboots.com:7035381153882,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,human
shopify:www.rothys.com:7597342785630,garment_category,bag,labeled,0.80,other,other,labeled,human
shopify:www.thursdayboots.com:7442143805530,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,human
shopify:www.american-giant.com:8226072985781,garment_category,shirt_blouse,labeled,0.80,top,shirt_blouse,labeled,human
shopify:www.rothys.com:7597342687326,garment_category,bag,labeled,0.60,other,other,labeled,human
shopify:www.everlane.com:7855404286038,occasion,beach,labeled,0.80,casual,casual,labeled,human
shopify:fahertybrand.com:7876163403845,fit,regular,labeled,1.00,loose,regular,labeled,human
shopify:www.everlane.com:7784909668438,neckline,square,labeled,1.00,scoop,scoop,labeled,human
shopify:www.taylorstitch.com:7454610653261,colour_primary,orange,labeled,0.60,red,orange,labeled,human
shopify:www.taylorstitch.com:7355710865485,colour_primary,white,labeled,1.00,beige,white,labeled,human
shopify:naadam.co:6619044446304,neckline,<not_applicable>,not_applicable,1.00,,,not_applicable,human
shopify:www.marinelayer.com:8213621735498,closure,<unknown>,unknown,1.00,,,not_applicable,human
shopify:fahertybrand.com:8021113339973,garment_length,maxi,labeled,1.00,,maxi,labeled,machine-adjudicated
shopify:fahertybrand.com:8021114093637,sleeve_length,<not_applicable>,not_applicable,1.00,,<not_applicable>,not_applicable,machine-adjudicated
shopify:www.thursdayboots.com:7786538008666,closure,buckle,labeled,1.00,,buckle,labeled,machine-adjudicated
shopify:www.tentree.com:8143540322490,fit,oversized,labeled,1.00,,oversized,labeled,machine-adjudicated
shopify:www.everlane.com:7864340643926,garment_length,knee,labeled,0.80,,knee,labeled,machine-adjudicated
shopify:www.everlane.com:7810423160918,neckline,v_neck,labeled,1.00,,v_neck,labeled,machine-adjudicated
shopify:fahertybrand.com:8021113274437,closure,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:fahertybrand.com:7721860857925,details,tiered,labeled,1.00,,tiered,labeled,machine-adjudicated
shopify:www.untuckit.com:7625422176334,pattern,geometric,labeled,1.00,,geometric,labeled,machine-adjudicated
shopify:www.untuckit.com:7713739178062,details,none,labeled,0.80,,none,labeled,machine-adjudicated
shopify:naadam.co:6620058484832,collar_type,hooded,labeled,1.00,,hooded,labeled,machine-adjudicated
shopify:www.outdoorvoices.com:7827443744846,colour_primary,pink,labeled,1.00,,pink,labeled,machine-adjudicated
shopify:www.taylorstitch.com:7355710931021,material,cotton,labeled,1.00,,cotton,labeled,machine-adjudicated
shopify:www.untuckit.com:7590178553934,waistline,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.taylorstitch.com:7307482660941,sleeve_style,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.untuckit.com:7713737605198,garment_length,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.everlane.com:7784909078614,neckline,square,labeled,1.00,,square,labeled,machine-adjudicated
shopify:www.outdoorvoices.com:7821252886606,material,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.untuckit.com:7590258475086,sleeve_style,<not_applicable>,not_applicable,1.00,,<not_applicable>,not_applicable,machine-adjudicated
shopify:fahertybrand.com:8021113339973,sleeve_style,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.outdoorvoices.com:7748366827598,silhouette,<unknown>,unknown,0.60,,<unknown>,unknown,machine-adjudicated
shopify:www.thursdayboots.com:7848748941402,colour_primary,metallic,labeled,1.00,,metallic,labeled,machine-adjudicated
shopify:www.tentree.com:8143540322490,sleeve_style,dropped_shoulder,labeled,1.00,,dropped_shoulder,labeled,machine-adjudicated
shopify:www.everlane.com:7859023970390,details,none,labeled,0.80,,none,labeled,machine-adjudicated
shopify:www.everlane.com:7859754401878,colour_primary,yellow,labeled,1.00,,yellow,labeled,machine-adjudicated
shopify:www.taylorstitch.com:7579181809741,sleeve_length,short,labeled,1.00,,short,labeled,machine-adjudicated
shopify:www.untuckit.com:7853403111502,closure,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.everlane.com:7859754860630,silhouette,shift,labeled,1.00,,shift,labeled,machine-adjudicated
shopify:www.rothys.com:7597343113310,garment_length,<not_applicable>,not_applicable,1.00,,<not_applicable>,not_applicable,machine-adjudicated
shopify:fahertybrand.com:7784147910725,colour_primary,multicolour,labeled,1.00,,multicolour,labeled,machine-adjudicated
shopify:www.everlane.com:7827422478422,garment_length,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.thursdayboots.com:7332008624218,sleeve_length,<not_applicable>,not_applicable,1.00,,<not_applicable>,not_applicable,machine-adjudicated
shopify:www.thursdayboots.com:7743079153754,neckline,<not_applicable>,not_applicable,1.00,,<not_applicable>,not_applicable,machine-adjudicated
shopify:www.marinelayer.com:8213622718538,details,pleated,labeled,1.00,,pleated,labeled,machine-adjudicated
shopify:www.girlfriend.com:7844788469823,colour_primary,green,labeled,0.80,,green,labeled,machine-adjudicated
shopify:www.taylorstitch.com:6865637507149,sleeve_length,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.rothys.com:7374031126622,colour_primary,multicolour,labeled,0.80,,multicolour,labeled,machine-adjudicated
shopify:fahertybrand.com:8021116059717,collar_type,none,labeled,0.60,,none,labeled,machine-adjudicated
shopify:www.everlane.com:7841451081814,silhouette,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.taylorstitch.com:7579199668301,waistline,<not_applicable>,not_applicable,1.00,,<not_applicable>,not_applicable,machine-adjudicated
shopify:naadam.co:7475936854112,collar_type,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.thursdayboots.com:7743079153754,garment_length,<not_applicable>,not_applicable,1.00,,<not_applicable>,not_applicable,machine-adjudicated
shopify:naadam.co:6565957304416,silhouette,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.untuckit.com:7663366832206,silhouette,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
shopify:www.everlane.com:7859754664022,sleeve_length,sleeveless,labeled,1.00,,sleeveless,labeled,machine-adjudicated
shopify:naadam.co:7163412283488,material,cashmere,labeled,1.00,,cashmere,labeled,machine-adjudicated
shopify:www.everlane.com:7760661413974,colour_primary,blue,labeled,1.00,,blue,labeled,machine-adjudicated
shopify:naadam.co:7505740103776,occasion,<unknown>,unknown,1.00,,<unknown>,unknown,machine-adjudicated
