sku_id,attribute,proposed_value,proposed_status,agreement,alternatives,corrected_value,corrected_status,note
shopify:www.everlane.com:7855404318806,occasion,beach,labeled,0.60,casual,casual,labeled,
shopify:fahertybrand.com:8021116059717,garment_category,shirt_blouse,labeled,0.60,top,shirt_blouse,labeled,
shopify:www.thursdayboots.com:7332008296538,details,studded,labeled,0.40,none,none,labeled,
shopify:www.taylorstitch.com:7307482300493,details,washed,labeled,1.00,washed|slit,washed,labeled,
shopify:www.thursdayboots.com:7442149146714,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,
shopify:www.taylorstitch.com:7579184529485,details,washed|embroidered,labeled,1.00,embroidered|slit|washed,washed|embroidered,labeled,
shopify:fahertybrand.com:7552632389701,details,tiered|gathered,labeled,1.00,tiered,tiered,labeled,
shopify:www.everlane.com:7855407956054,material,knit,labeled,0.60,synthetic,synthetic,labeled,
shopify:fahertybrand.com:6900366016581,details,none,labeled,0.60,lined,lined,labeled,
shopify:www.everlane.com:7859024363606,details,gathered,labeled,0.80,none,gathered,labeled,
shopify:fahertybrand.com:7552626360389,pattern,graphic,labeled,1.00,solid,graphic,labeled,
shopify:www.thursdayboots.com:7015663042650,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,
shopify:fahertybrand.com:8021099315269,occasion,work,labeled,0.40,casual,work,labeled,
shopify:www.taylorstitch.com:7579199668301,garment_category,shirt_blouse,labeled,0.60,top,shirt_blouse,labeled,
shopify:www.taylorstitch.com:7355710865485,garment_category,shirt_blouse,labeled,1.00,top,shirt_blouse,labeled,
shopify:naadam.co:7278785036384,garment_category,top,labeled,1.00,sweater,sweater,labeled,
shopify:www.untuckit.com:7853402357838,occasion,work,labeled,0.80,casual,work,labeled,
shopify:fahertybrand.com:6884728930373,pattern,graphic,labeled,0.80,solid,solid,labeled,
shopify:www.everlane.com:7859754401878,garment_category,top,labeled,0.60,shirt_blouse,top,labeled,
shopify:fahertybrand.com:7055925936197,closure,zip,labeled,0.60,fly,zip,labeled,
shopify:fahertybrand.com:8021113405509,silhouette,flare,labeled,0.80,fit_and_flare,flare,labeled,
shopify:naadam.co:6835720716384,fit,regular,labeled,0.60,loose,regular,labeled,
shopify:naadam.co:7634686640224,garment_category,sweater,labeled,1.00,top,top,labeled,
shopify:www.everlane.com:7784911405142,colour_primary,white,labeled,1.00,beige,white,labeled,
shopify:www.untuckit.com:7590240878670,colour_primary,multicolour,labeled,0.80,blue,multicolour,labeled,
shopify:www.untuckit.com:4556194840654,details,lined|slit,labeled,1.00,lined,lined|slit,labeled,
shopify:naadam.co:6620058484832,details,none,labeled,0.60,quilted,none,labeled,
shopify:www.tentree.com:8322436235450,material,cotton,labeled,0.60,denim,cotton,labeled,
shopify:www.thursdayboots.com:7332008296538,colour_primary,metallic,labeled,0.80,brown,metallic,labeled,
shopify:www.everlane.com:7849644458070,details,none,labeled,0.60,lined,lined,labeled,
shopify:www.thursdayboots.com:7035381153882,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,
shopify:www.rothys.com:7597342785630,garment_category,bag,labeled,0.80,other,other,labeled,
shopify:www.thursdayboots.com:7442143805530,details,lined|studded,labeled,1.00,lined,lined|studded,labeled,
shopify:www.american-giant.com:8226072985781,garment_category,shirt_blouse,labeled,0.80,top,shirt_blouse,labeled,
shopify:www.rothys.com:7597342687326,garment_category,bag,labeled,0.60,other,other,labeled,
shopify:www.everlane.com:7855404286038,occasion,beach,labeled,0.80,casual,casual,labeled,
shopify:fahertybrand.com:7876163403845,fit,regular,labeled,1.00,loose,regular,labeled,
shopify:www.everlane.com:7784909668438,neckline,square,labeled,1.00,scoop,scoop,labeled,
shopify:www.taylorstitch.com:7454610653261,colour_primary,orange,labeled,0.60,red,orange,labeled,
shopify:www.taylorstitch.com:7355710865485,colour_primary,white,labeled,1.00,beige,white,labeled,
shopify:naadam.co:6619044446304,neckline,<not_applicable>,not_applicable,1.00,,,not_applicable,
shopify:www.marinelayer.com:8213621735498,closure,<unknown>,unknown,1.00,,,not_applicable,
